term,crn,course_code,subject,course_number,section,title,credits,prerequisites,days,start_time,end_time,schedule_type,instructor,building,room,max_enrollment,total_enrollment,remaining_seats
Summer 2026,32064,COMP3800,COMP,3800,3,COMPUTING SEMINAR,1,,,,,Online Async Lecture (ONL),"Neyaz, Ashar",Online Section,,5,4,1
Summer 2026,31803,COMP4450,COMP,4450,01A,SYSTEMS PROGRAMMING,4,COMP3400,TR,05:30pm,08:00pm,Lecture (LEC),"Park, Sunjae",Wentworth Hall,4,24,7,17
Summer 2026,31804,COMP4450,COMP,4450,02A,SYSTEMS PROGRAMMING,0,COMP3400,MW,06:00pm,07:45pm,Laboratory (LAB),"Park, Sunjae",Wentworth Hall,4,24,7,17
Summer 2026,31805,COMP4550,COMP,4550,01A,INCIDENT RESP & BUS CONTINUITY,4,COMP4500,MW,03:30pm,04:45pm,Lecture (LEC),"Neyaz, Ashar",Wentworth Hall,10,24,19,5
Summer 2026,31806,COMP4550,COMP,4550,02A,INCIDENT RESP & BUS CONTINUITY,0,COMP4500,R,01:00pm,02:45pm,Laboratory (LAB),"Neyaz, Ashar",Watson Hall,2,24,19,5
Summer 2026,31807,COMP4550,COMP,4550,03B,INCIDENT RESP & BUS CONTINUITY,4,COMP4500,MW,12:30pm,01:45pm,Lecture (LEC),"Neyaz, Ashar",Beatty Hall,420,24,16,8
Summer 2026,31808,COMP4550,COMP,4550,04B,INCIDENT RESP & BUS CONTINUITY,0,COMP4500,F,01:00pm,02:45pm,Laboratory (LAB),"Neyaz, Ashar",Annex Central,209,24,16,8
Summer 2026,31809,COMP4650,COMP,4650,1,WEB DEVELOPMENT,4,COMP2650,MW,09:30am,10:45am,Lecture (LEC),"Irfan, Muhammad",Wentworth Hall,306,24,26,-2
Summer 2026,31810,COMP4650,COMP,4650,2,WEB DEVELOPMENT,0,COMP2650,T,08:00am,09:45am,Laboratory (LAB),"Irfan, Muhammad",Annex Central,201,24,26,-2
Summer 2026,31548,COMP4700,COMP,4700,01A,ARTIFICIAL INTELLIGENCE,4,COMP2000&COMP2350&MATH2100&MATH2860,MW,12:30pm,01:45pm,Lecture (LEC),"Kreimendahl, Frank",Wentworth Hall,305,24,24,0
Summer 2026,31549,COMP4700,COMP,4700,02A,ARTIFICIAL INTELLIGENCE,0,COMP2000&COMP2350&MATH2100&MATH2860,F,01:00pm,02:45pm,Laboratory (LAB),"Kreimendahl, Frank",CEIS,422,24,24,0
Summer 2026,31811,COMP5500,COMP,5500,01A,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Folajimi, Yetunde",Wentworth Hall,210,17,17,0
Summer 2026,31812,COMP5500,COMP,5500,02A,SENIOR PROJECT,0,COMP4950|COMP4960 ,TWR,05:15pm,07:00pm,Laboratory (LAB),"Folajimi, Yetunde",Annex Central,201,17,17,0
Summer 2026,31963,COMP5500,COMP,5500,05C,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Folajimi, Yetunde",Beatty Hall,419,17,12,5
Summer 2026,31964,COMP5500,COMP,5500,06C,SENIOR PROJECT,0,COMP4950|COMP4960,TWR,05:15pm,07:00pm,Laboratory (LAB),"Folajimi, Yetunde",Beatty Hall,401,17,12,5
Summer 2026,31965,COMP5500,COMP,5500,07D,SENIOR PROJECT,4,COMP4950|COMP4960,M,02:00pm,02:50pm,Lecture (LEC),"Pang, Weijie",Beatty Hall,401,15,17,-2
Summer 2026,31966,COMP5500,COMP,5500,08D,SENIOR PROJECT,0,COMP4950|COMP4960,TR,02:00pm,04:35pm,Laboratory (LAB),"Pang, Weijie",Beatty Hall,401,15,17,-2
Summer 2026,31968,COMP5500,COMP,5500,09E,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Robinson, Clifton",Beatty Hall,401,15,17,-2
Summer 2026,31969,COMP5500,COMP,5500,10E,SENIOR PROJECT,0,COMP4950|COMP4960,TWR,05:15pm,07:00pm,Laboratory (LAB),"Robinson, Clifton",CEIS,422,15,17,-2
Summer 2026,31970,COMP5500,COMP,5500,11F,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Othman, Salem",Willson Hall,102,17,17,0
Summer 2026,31971,COMP5500,COMP,5500,12F,SENIOR PROJECT,0,COMP4950|COMP4960,TWR,05:15pm,07:00pm,Laboratory (LAB),"Othman, Salem",Beatty Hall,419,17,17,0
Summer 2026,31972,COMP5500,COMP,5500,13G,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Othman, Salem",Wentworth Hall,205,17,17,0
