TERM_CODE,TERM,PART_OF_TERM,START_DATE,END_DATE,LEVEL_CODE,CRN,SUBJECT,COURSE,SECTION,COURSE_TITLE,SCHEDULE_TYPE,CAMPUS,DEPARTMENT,INSTRUCTOR,MAX_ENROLLMENT,TOTAL_ENROLLMENT,REMAINING_SEATS,CREDIT_HOUR,SCHED_BUILDING_DESC,SCHED_ROOM_CODE,SCHED_ROOM_DESC,COURSE_DAYS,BEGIN_TIME,END_TIME
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,GR,32049,COMP,5600,01,FOUNDATIONS OF CYBERSECURITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",25,13,12,3,Watson Hall,002,CLASSROOM,W,06:00pm,08:30pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,GR,32050,COMP,6420,01,REVERSE ENGINEERING,Individualized Study (IND),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",1,2,-1,3,Annex Central,210,CLASSROOM,T,06:00pm,08:30pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,GR~UG,32051,COMP,7800,01,DATA ENGINEERING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Folajimi, Yetunde",25,8,17,3,Beatty Hall,401,CLASSROOM: DISTANCE LEARNING,M,06:30pm,09:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31976,DATA,5500,01A,SENIOR DESIGN,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Pang, Weijie",15,3,12,4,Dobbs Hall,302,CLASSROOM,TF,03:00pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,GR,31978,DATA,6950,01,CAPSTONE II,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Pang, Weijie",15,5,10,3,Annex Central,101,CLASSROOM,TR,05:15pm,06:30pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31402,MATH,1776,01,CALCULUS 1A,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"McDonald, Christopher",25,18,7,2,Online Section,ONL,Online Room,MTR,05:15pm,06:25pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31403,MATH,1777,01,CALCULUS 1B,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"McDonald, Christopher",28,18,10,2,Online Section,ONL,Online Room,MTR,06:45pm,07:55pm
202630,Summer 2026,Summer 7 Weeks Session II,6/17/2026,8/11/2026,UG,31404,MATH,1777,02,CALCULUS 1B,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"McDonald, Christopher",25,23,2,2,Online Section,ONL,Online Room,MTR,05:15pm,06:25pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,32084,MATH,1777,03,CALCULUS 1B,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"Grossi, Ana Cristina",25,14,11,2,Online Section,ONL,Online Room,MTR,06:45pm,07:55pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31405,MATH,1876,01,CALCULUS 2A,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"Meike, Everett",28,24,4,2,Online Section,ONL,Online Room,MTR,05:15pm,06:25pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31406,MATH,1876,02,CALCULUS 2A,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"Meike, Everett",28,19,9,2,Online Section,ONL,Online Room,MTR,06:45pm,07:55pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31407,MATH,1876,03,CALCULUS 2A,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"Sanderson, Elijah",28,28,0,2,Online Section,ONL,Online Room,MTR,06:45pm,07:55pm
202630,Summer 2026,Summer 7 Weeks Session II,6/17/2026,8/11/2026,UG,31408,MATH,1876,04,CALCULUS 2A,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"McDonald, Christopher",25,18,7,2,Online Section,ONL,Online Room,MTR,06:45pm,07:55pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31409,MATH,1877,01,CALCULUS 2B,Lecture (LEC),Wentworth Institute Technology,Applied Mathematics,"Sanderson, Elijah",28,23,5,2,Online Section,ONL,Online Room,MTR,05:15pm,06:25pm
